1000000 , 10000 , 0.319045 , 9561.95
1000000 , 20000 , 0.063139 , 11925.7
1000000 , 30000 , 0.04047 , 8882.32
1000000 , 40000 , 0.035694 , 7675.73
1000000 , 50000 , 0.032493 , 7884.24
1000000 , 60000 , 0.030393 , 8503.49
1000000 , 70000 , 0.029108 , 9760.95
1000000 , 80000 , 0.027905 , 11008.9
1000000 , 90000 , 0.026686 , 12540.6
1000000 , 100000 , 0.026393 , 14631.3
1000000 , 200000 , 0.021306 , 43906.6
1000000 , 300000 , 0.018866 , 77845
1000000 , 400000 , 0.016845 , 114670
1000000 , 500000 , 0.01527 , 149034
1000000 , 600000 , 0.014264 , 177890
1000000 , 700000 , 0.01361 , 199510
1000000 , 800000 , 0.012581 , 213313
1000000 , 900000 , 0.012014 , 224601
1000000 , 1e+06 , 0.011232 , 229652
1000000 , 2e+06 , 0.007885 , 222748
1000000 , 3e+06 , 0.006425 , 215055
1000000 , 4e+06 , 0.005393 , 199629
1000000 , 5e+06 , 0.004942 , 202792
1000000 , 6e+06 , 0.00442 , 199178
1000000 , 7e+06 , 0.004173 , 204964
1000000 , 8e+06 , 0.003875 , 216339
1000000 , 9e+06 , 0.003559 , 214361
1000000 , 1e+07 , 0.003579 , 211023
1000000 , 2e+07 , 0.002832 , 413609
1000000 , 3e+07 , 0.00268 , 406556
1000000 , 4e+07 , 0.002578 , 451185
1000000 , 5e+07 , 0.002598 , 415181
1000000 , 6e+07 , 0.00252 , 416657
1000000 , 7e+07 , 0.002463 , 384033
1000000 , 8e+07 , 0.002557 , 427045
1000000 , 9e+07 , 0.002624 , 427155
1000000 , 1e+08 , 0.002571 , 491389
